Source:,C:\Users\KjB22\Desktop\Test Kicad\318_Project_R5\318_Project_R5\318_Project_R5.kicad_sch,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,4/11/2024 16:19,,,,,,,,,,,,,,,,,,,,,,,,,,
Tool:,Eeschema 7.0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Generator:,C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,,,,,,,,,,,,,,,,,,,
Component Count:,119,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collated Components:,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,DNP,AVAILABILITY,Availability,Check_prices,Comment,DESCRIPTION,Description,DigiKey_Part_Number,MANUFACTURER,MF,MP,PACKAGE,PARTREV,PRICE,Package,Price,Purchase-URL,STANDARD,Sim.Device,Sim.Pins,SnapEDA_Link
1,4,"C1, C27, C29, C46",470uF,Device:C,Capacitor_THT:CP_Radial_D13.0mm_P5.00mm,~,,,,,,,,,,,,,,,,,,,,,
2,21,"C2, C3, C8, C9, C10, C11, C15, C16, C17, C18, C22, C28, C32, C41, C42, C45, C47, C49, C50, C51, C53",100nF,Device:C,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,~,,,,,,,,,,,,,,,,,,,,,
3,6,"C4, C7, C13, C37, C40, C44",22uF,Device:C,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,~,,,,,,,,,,,,,,,,,,,,,
4,4,"C5, C38, C39, C43",220pF,Device:C,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,~,,,,,,,,,,,,,,,,,,,,,
5,4,"C6, C24, C26, C33",10uF,Device:C,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,~,,,,,,,,,,,,,,,,,,,,,
6,1,C12,22pF,Device:C,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,~,,,,,,,,,,,,,,,,,,,,,
7,2,"C19, C20",47nF,Device:C,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,~,,,,,,,,,,,,,,,,,,,,,
8,2,"C23, C25",1uF,Device:C,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,~,,,,,,,,,,,,,,,,,,,,,
9,2,"C30, C31",220nF,Device:C,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,~,,,,,,,,,,,,,,,,,,,,,
10,2,"C34, C35",680nF,Device:C,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,~,,,,,,,,,,,,,,,,,,,,,
11,1,C36,22p,Device:C,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,~,,,,,,,,,,,,,,,,,,,,,
12,1,C48,1000uF,Device:C,Capacitor_THT:CP_Radial_D13.0mm_P5.00mm,~,,,,,,,,,,,,,,,,,,,,,
13,2,"C52, C54",1nF,Device:C,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,~,,,,,,,,,,,,,,,,,,,,,
14,2,"D1, D2",1N914WT,Diode:1N914WT,Diode_SMD:D_SOD-523,http://www.mouser.com/ds/2/149/1N4148WT-461550.pdf,,,,,,,,,,,,,,,,,,,D,1=K 2=A,
15,2,"J1, J2",282837-3,3 Terminal Wire clamp Connector:282837-3,282837_3 Screw Terminal:TE_282837-3,,,,,https://www.snapeda.com/parts/282837-3/TE+Connectivity+AMP+Connectors/view-part/?ref=eda,282837-3,,"Terminal Block Connector,PCB,3,5.08 mm,Front,30-16 AWG,Green,13.5 A,250 V | TE Connectivity 282837-3",A113321-ND,TE CONNECTIVITY,TE Connectivity,282837-3,,H,,None,,https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=2765182&manufacturer=TE Connectivity&part_name=282837-3&search_term=None,Manufacturer Recommendations,,,https://www.snapeda.com/parts/282837-3/TE+Connectivity+AMP+Connectors/view-part/?ref=snap
,,,,,,~,,,,,,,,,,,,,,,,,,,,,
17,2,"L1, L2",10u,Device:L,Winbond 2Gbit Flash SPI:Power Inductor 10uH,~,,,,,,,,,,,,,,,,,,,,,
18,2,"P1, P2",282837-2,2 Terminal Wire clamp Connector:282837-2,282837_2 Screw Terminal:TE_282837-2,,,Good,,https://www.snapeda.com/parts/282837-2/TE+Connectivity+AMP+Connectors/view-part/?ref=eda,282837-2,TERMINAL BLOCK 3.5MM 2POS PCB,Terminal Block Connector Wire Receptacle 2 5.08 mm 30-16 AWG Green 13.5 A 250 V | TE Connectivity 282837-2,A113320-ND,,TE Connectivity,282837-2,None,G3,0.28 USD,None,,https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=2549980&manufacturer=TE Connectivity&part_name=282837-2&search_term=None,,,,https://www.snapeda.com/parts/282837-2/TE+Connectivity+AMP+Connectors/view-part/?ref=snap
19,2,"R1, R2",330,Device:R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,~,,,,,,,,,,,,,,,,,,,,,
20,4,"R3, R4, R21, R28",1k,Device:R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,~,,,,,,,,,,,,,,,,,,,,,
21,2,"R5, R7",20k,Device:R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,~,,,,,,,,,,,,,,,,,,,,,
22,1,R6,5k1,Device:R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,~,,,,,,,,,,,,,,,,,,,,,
23,14,"R8, R10, R12, R13, R14, R16, R19, R20, R30, R31, R34, R35, R39, R42",10k,Device:R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,~,,,,,,,,,,,,,,,,,,,,,
24,1,R9,309k,Device:R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,~,,,,,,,,,,,,,,,,,,,,,
25,2,"R15, R18",1.5k,Device:R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,~,,,,,,,,,,,,,,,,,,,,,
26,4,"R22, R23, R24, R40",6.98k,Device:R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,~,,,,,,,,,,,,,,,,,,,,,
27,3,"R29,50k1, R29,50k2, R29,50k3",PTV111-4420A-B104,PTT111-3 Potentiometer:PTT111-3217A-B503,PTV111:PTT111-3_17_BRN,PTT111-3217A-B503,,,,,,,,,,,,,,,,,,,,,
28,1,"R31,10k1",PTT111-3415A-B103,PTT111-3 Potentiometer:PTT111-3217A-B503,PTV111:PTT111-3_17_BRN,PTT111-3217A-B503,,,,,,,,,,,,,,,,,,,,,
29,2,"R32, R33",4.7k,Device:R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,~,,,,,,,,,,,,,,,,,,,,,
30,1,R43,PTV112-1417A-A103,PTV112 Dual Gang Potentiometer:PTV112-4420A-B503,PTV112:PTV112-4_BRN,PTV112-4420A-B503,,,,,,,,,,,,,,,,,,,,,
31,1,U1,THAT 1510,Custom Symbols:THAT_1510_SO8,Custom Footprints:THAT 1510 SO8,,,,,,,,,,,,,,,,,,,,,,
